MicroMag 2900/3900 Data File (Series 0016.002)
Direct moment vs. field; First-order reversal curves
Generated by Lake Shore 8600 series VSM software version 1.3

INSTRUMENT
Configuration			VSM
0.04, 3.0014232053337E-6
0.043, 3.21139313935072E-6
0.046, 3.42085020407823E-6
0.049, 3.62892204770707E-6
0.052, 3.83025005241268E-6
0.055, 4.03217450516942E-6
0.058, 4.2308160624509E-6
0.061, 4.42365976828221E-6
0.064, 4.61290202621288E-6
0.067, 4.80090948782155E-6
0.07, 4.98590935016625E-6
0.073, 5.16619552081197E-6
0.076, 5.34533114421745E-6
0.079, 5.52332268567007E-6
0.082, 5.69472589271468E-6
0.085, 5.86443698068868E-6
0.088, 6.03153863459615E-6
0.091, 6.19563474416177E-6
0.094, 6.3565365648806E-6
0.097, 6.51655022444045E-6
0.1, 6.66726468902083E-6
0.103, 6.81948569304266E-6
0.106, 6.96977936693357E-6
0.109, 7.11341520356603E-6
0.112, 7.25627431533175E-6
0.115, 7.39558752124718E-6
0.118, 7.53117718292608E-6
0.121, 7.66295251081576E-6
0.124, 7.79409890154468E-6
0.127, 7.91910596872872E-6
0.13, 8.04446670983818E-6
0.133, 8.16075325842627E-6
0.136, 8.27924427207162E-6
0.139, 8.39874557794346E-6
0.142, 8.50132431851927E-6
0.145, 8.61291882342273E-6
0.148, 8.71646733658333E-6
0.151, 8.82239002040025E-6
0.154, 8.91944767702863E-6
0.157, 9.01408410002246E-6
0.16, 9.10500421270129E-6
0.163, 9.19749850545401E-6
0.166, 9.28599086613301E-6
0.169, 9.37279314645818E-6
0.172, 9.45404615947672E-6
0.175, 9.53028060393315E-6
0.178, 9.60763235777251E-6
0.181, 9.68150959189198E-6
0.184, 9.75361250517642E-6
0.187, 9.82293962843882E-6
0.19, 9.89082554641611E-6
0.193, 9.95694649079674E-6
0.196, 1.00174472157144E-5
0.199, 1.00803553540206E-5
0.202, 1.01365906471306E-5
0.205, 1.01952203139142E-5
0.208, 1.02492095691456E-5
0.211, 1.0302669918119E-5
0.214, 1.03533840627895E-5
0.217, 1.04028511487938E-5
0.22, 1.04497533413706E-5
0.223, 1.0498255493125E-5
0.226, 1.05418496260213E-5
0.229, 1.05878545126249E-5
0.232, 1.06274284814679E-5
0.235, 1.06693385385216E-5

0.439339283738751, 1.20283486364308E-5

-0.158, -8.92880845603356E-6
-0.155, -8.83538195904305E-6
-0.152, -8.74407661154675E-6
-0.149, -8.64841273967815E-6
-0.146, -8.54675643600304E-6
-0.143, -8.44407831231066E-6
-0.14, -8.3431748041643E-6
-0.137, -8.2327735093963E-6
-0.134, -8.12135526128279E-6
-0.131, -8.00951152244801E-6
-0.128, -7.89042007503134E-6
-0.125, -7.76922176163458E-6
-0.122, -7.64719428701689E-6
-0.119, -7.51967470780623E-6
-0.116, -7.39200027839941E-6
-0.113, -7.26093764635675E-6
-0.11, -7.12534677413106E-6
-0.107, -6.98458357295027E-6
-0.104, -6.84458684503617E-6
-0.101, -6.70081702440392E-6
-0.098, -6.55315549212768E-6
-0.095, -6.40460312850935E-6
-0.092, -6.24929052698111E-6
-0.089, -6.09346708169259E-6
-0.086, -5.93483047511395E-6
-0.083, -5.77397764461346E-6
-0.08, -5.60935306425376E-6
-0.077, -5.44133857030264E-6
-0.074, -5.27454742754937E-6
-0.071, -5.09934587080651E-6
-0.0680000000000001, -4.9239844016029E-6
-0.0650000000000001, -4.74401010620166E-6
-0.0620000000000001, -4.56258123760798E-6
-0.0590000000000001, -4.3807120665279E-6
-0.0560000000000001, -4.19686230001903E-6
-0.053, -4.007830967097E-6
-0.0500000000000001, -3.81312588273722E-6
-0.047, -3.62184512280853E-6
-0.044, -3.42505691007218E-6
-0.041, -3.2245265414681E-6
-0.038, -3.02394849546214E-6
-0.035, -2.81896374671776E-6
-0.032, -2.61158192162501E-6
-0.029, -2.40141690527494E-6
-0.026, -2.19055204932927E-6
-0.023, -1.97196067627572E-6
-0.02, -1.75301018921903E-6
-0.017, -1.52950932671277E-6
-0.014, -1.29708288010527E-6
-0.011, -1.06768504492234E-6
-0.00800000000000001, -8.30069716843693E-7
-0.005, -5.92453326873282E-7
-0.002, -3.45803099105733E-7
0.001, -9.73753572840935E-8
0.004, 1.61850429209172E-7
0.00700000000000001, 4.16740468275541E-7
0.01, 6.70278838096226E-7
0.013, 9.19682248476078E-7
0.016, 1.16425849789327E-6
0.019, 1.40829942184253E-6
0.022, 1.64484701729989E-6
0.025, 1.88180052855229E-6
0.028, 2.11276990359257E-6
0.031, 2.33940207214448E-6
0.034, 2.56302874313806E-6
0.037, 2.7797477191443E-6
0.04, 2.99820898697872E-6
0.043, 3.21128408155897E-6
0.046, 3.42121627832173E-6
0.049, 3.6278013232906E-6
0.052, 3.82986966353748E-6
0.055, 4.02893013499805E-6
0.058, 4.22687889129586E-6
0.061, 4.42176151352394E-6
0.064, 4.61172477217196E-6
0.067, 4.79835533912196E-6
0.07, 4.98377731528844E-6
0.073, 5.16351028040112E-6
0.076, 5.34608559588247E-6
0.079, 5.51934469399116E-6
0.082, 5.69358910798645E-6
0.085, 5.86344174799097E-6
0.088, 6.03017693173744E-6
0.091, 6.19359665455942E-6
0.094, 6.3529103429997E-6
0.097, 6.51014957920812E-6
0.1, 6.66658036108639E-6
0.103, 6.81938490625767E-6
0.106, 6.96595631322161E-6
0.109, 7.11189869947472E-6
0.112, 7.25025333172209E-6
0.115, 7.39121432995838E-6
0.118, 7.52940714116731E-6
0.121, 7.66116907287086E-6
0.124, 7.7905675057291E-6
0.127, 7.91827123704794E-6
0.13, 8.03947099529288E-6
0.133, 8.16129688231998E-6
0.136, 8.27712023433341E-6
0.139, 8.38954632584538E-6
0.142, 8.50222598753272E-6
0.145, 8.60970348621588E-6
0.148, 8.7166723867691E-6
0.151, 8.81816705803946E-6
0.154, 8.91768835102555E-6
0.157, 9.01458739199427E-6
0.16, 9.10762059940428E-6
0.163, 9.19724290375948E-6
0.166, 9.28481095113444E-6
0.169, 9.36858401361249E-6
0.172, 9.45121376735012E-6
0.175, 9.53173796257174E-6
0.178, 9.60815373880832E-6
0.181, 9.68258564382275E-6
0.184, 9.75463901911986E-6
0.187, 9.82195368024682E-6
0.19, 9.89055228382542E-6
0.193, 9.95748411656609E-6
0.196, 1.00187510403948E-5
0.199, 1.0079928863547E-5
0.202, 1.01376116351042E-5
0.205, 1.01923907433091E-5
0.208, 1.02504495142519E-5
0.211, 1.0302654469034E-5
0.214, 1.03560963294627E-5
0.217, 1.0405728686951E-5
0.22, 1.04517728578579E-5
0.223, 1.04992738507294E-5
0.226, 1.05414772236376E-5
0.229, 1.0586408369328E-5
0.232, 1.06291810304215E-5
0.235, 1.06697623924406E-5
0.238, 1.07064275507514E-5

0.439347061392324, 1.20291727515275E-5

-0.161, -9.01927652363675E-6
-0.158, -8.93298501438226E-6
-0.155, -8.84182881574349E-6
-0.152, -8.74884190765333E-6
-0.149, -8.65158363445293E-6
-0.146, -8.55233238985519E-6
-0.143, -8.44923731061473E-6
-0.14, -8.34446471119E-6
-0.137, -8.2362179184836E-6
-0.134, -8.12650268099386E-6
-0.131, -8.01075935080222E-6
-0.128, -7.89139778522618E-6
-0.125, -7.77444586551949E-6
-0.122, -7.64969254978762E-6
-0.119, -7.52461951780752E-6
-0.116, -7.39384776953071E-6
-0.113, -7.2631727399149E-6
-0.11, -7.12539890729826E-6
-0.107, -6.9865202927844E-6
-0.104, -6.84626977853099E-6
-0.101, -6.70454227706776E-6
-0.098, -6.55599949467243E-6
-0.095, -6.40686269400429E-6
-0.092, -6.25142325744004E-6
-0.089, -6.09598761982587E-6
-0.086, -5.93685116172558E-6
-0.083, -5.77744763102776E-6
-0.08, -5.61314881428568E-6
-0.077, -5.44270622914217E-6
-0.074, -5.2730908330464E-6
-0.0710000000000001, -5.10291644500818E-6
-0.0680000000000001, -4.92501318234591E-6
-0.0650000000000001, -4.74606827093469E-6
-0.0620000000000001, -4.56745202952522E-6
-0.0590000000000001, -4.3850283224169E-6
-0.0560000000000001, -4.19735018794905E-6
-0.053, -4.01166511310397E-6
-0.0500000000000001, -3.81967656481534E-6
-0.047, -3.62447994279374E-6
-0.044, -3.4275154396973E-6
-0.041, -3.22771650385732E-6
-0.038, -3.02700483041676E-6
-0.035, -2.82163158451048E-6
-0.032, -2.61233119889119E-6
-0.029, -2.40522930327566E-6
-0.026, -2.19116596353546E-6
-0.023, -1.97520287303346E-6
-0.02, -1.75519885428269E-6
-0.017, -1.53047528231124E-6
-0.014, -1.30080327412848E-6
-0.011, -1.07105729046939E-6
-0.00800000000000001, -8.334448739848E-7
-0.005, -5.94278358192121E-7
-0.002, -3.4912852641023E-7
0.001, -9.55217410482384E-8
0.004, 1.60652634050876E-7
0.00700000000000001, 4.17410949447621E-7
0.01, 6.69101210899244E-7
0.013, 9.16966625743027E-7
0.016, 1.16577601757769E-6
0.019, 1.40555137292007E-6
0.022, 1.6436161850923E-6
0.025, 1.88080441289153E-6
0.028, 2.11035659040286E-6
0.031, 2.33628955812649E-6
0.034, 2.55769123367591E-6
0.037, 2.7793994212267E-6
0.04, 2.99569939118609E-6
0.043, 3.20776011169642E-6
0.046, 3.41880685495081E-6
0.049, 3.62322877970128E-6
0.052, 3.82812746518306E-6
0.055, 4.02912380986343E-6
0.058, 4.22557259488604E-6
0.061, 4.41781429738706E-6
0.064, 4.60828089981925E-6
0.067, 4.79773354391526E-6
0.07, 4.98055486635141E-6
0.073, 5.16264793571728E-6
0.076, 5.3435960821749E-6
0.079, 5.51868472369906E-6
0.082, 5.69260405303658E-6
0.085, 5.86165035829109E-6
0.088, 6.02697380890786E-6
0.091, 6.19157115017867E-6
0.094, 6.3510702746539E-6
0.097, 6.51043184780857E-6
0.1, 6.66848672935417E-6
0.103, 6.81491375227514E-6
0.106, 6.96517566812615E-6
0.109, 7.10799987221186E-6
0.112, 7.25483548609646E-6
0.115, 7.38885665291546E-6
0.118, 7.52608131008537E-6
0.121, 7.65945191388034E-6
0.124, 7.78732758617977E-6
0.127, 7.91608335487062E-6
0.13, 8.04295368654447E-6
0.133, 8.15840824351197E-6
0.136, 8.27814496437155E-6
0.139, 8.38944283678213E-6
0.142, 8.49927225759824E-6
0.145, 8.60921314613102E-6
0.148, 8.71488756323971E-6
0.151, 8.81746222377773E-6
0.154, 8.91840765006052E-6
0.157, 9.01418650241759E-6
0.16, 9.10667734224648E-6
0.163, 9.19895457272094E-6
0.166, 9.28475027112914E-6
0.169, 9.37123036950509E-6
0.172, 9.44994583579272E-6
0.175, 9.53058676517736E-6
0.178, 9.61040793983871E-6
0.181, 9.68086525589631E-6
0.184, 9.7543769997779E-6
0.187, 9.8211718123841E-6
0.19, 9.89037298054718E-6
0.193, 9.95701705147095E-6
0.196, 1.0016532611158E-5
0.199, 1.00798300483024E-5
0.202, 1.01360444015036E-5
0.205, 1.01933405806725E-5
0.208, 1.02493170319799E-5
0.211, 1.03053074930741E-5
0.214, 1.03556048390801E-5
0.217, 1.04055823176447E-5
0.22, 1.04511219760046E-5
0.223, 1.05001852430101E-5
0.226, 1.05413941175574E-5
0.229, 1.05870356916366E-5
0.232, 1.06293504407352E-5
0.235, 1.06663735078764E-5
0.238, 1.07057989701884E-5
0.241, 1.0743093941192E-5

0.439352068114561, 1.20319574469095E-5

-0.164, -9.10982380227576E-6
-0.161, -9.02493831261368E-6
-0.158, -8.93608544884154E-6
-0.155, -8.84464460303308E-6
-0.152, -8.75063314710488E-6
-0.149, -8.65549478138858E-6
-0.146, -8.55729152006445E-6
-0.143, -8.45083671797498E-6
-0.14, -8.34936574994484E-6
-0.137, -8.23912824887678E-6
-0.134, -8.12822718821231E-6
-0.131, -8.01285112553406E-6
-0.128, -7.89888135899849E-6
-0.125, -7.77550051698623E-6
-0.122, -7.65312566822765E-6
-0.119, -7.52825641376227E-6
-0.116, -7.39668809804372E-6
-0.113, -7.26407915774118E-6
-0.11, -7.12748299683504E-6
-0.107, -6.99279842308013E-6
-0.104, -6.8513915874551E-6
-0.101, -6.70430793832441E-6
-0.098, -6.55899353732334E-6
-0.095, -6.40916382018187E-6
-0.092, -6.2554461272568E-6
-0.089, -6.10283699324331E-6
-0.086, -5.94143523352302E-6
-0.083, -5.77959734304198E-6
-0.08, -5.61263507784406E-6
-0.077, -5.44548419239959E-6
-0.0740000000000001, -5.27668822314174E-6
-0.0710000000000001, -5.1056861281642E-6
-0.0680000000000001, -4.92932634062604E-6
-0.0650000000000001, -4.7516250122044E-6
-0.0620000000000001, -4.56979730866771E-6
-0.0590000000000001, -4.38534256910638E-6
-0.0560000000000001, -4.20033262617574E-6
-0.053, -4.01062956613066E-6
-0.0500000000000001, -3.82118301927713E-6
-0.047, -3.62800568933665E-6
-0.044, -3.42745111881767E-6
-0.041, -3.2310174833089E-6
-0.038, -3.02772674696197E-6
-0.035, -2.82438556504356E-6
-0.032, -2.61884494233908E-6
-0.029, -2.40578886581599E-6
-0.026, -2.19304156794189E-6
-0.023, -1.97344350898809E-6
-0.02, -1.7556800257086E-6
-0.017, -1.53219531921026E-6
-0.014, -1.30274199320434E-6
-0.011, -1.07087968274164E-6
-0.00800000000000001, -8.3580340353651E-7
-0.005, -5.92698691008847E-7
-0.002, -3.4750242521433E-7
0.001, -9.66459923879367E-8
0.004, 1.59793033017072E-7
0.00700000000000001, 4.15210078033363E-7
0.01, 6.68663258229836E-7
0.013, 9.20394707949353E-7
0.016, 1.16168495889724E-6
0.019, 1.40289815350991E-6
0.022, 1.64368224037429E-6
0.025, 1.87586617857165E-6
0.028, 2.1076370488948E-6
0.031, 2.33611853462284E-6
0.034, 2.55743506207515E-6
0.037, 2.77738567614682E-6
0.04, 2.99390303077903E-6
0.043, 3.2066018452035E-6
0.046, 3.41828285798256E-6
0.049, 3.62244530146408E-6
0.052, 3.82749609413E-6
0.055, 4.02475119958514E-6
0.058, 4.22422861369028E-6
0.061, 4.41656791642832E-6
0.064, 4.60614140820203E-6
0.067, 4.79637369272922E-6
0.07, 4.97970758061536E-6
0.073, 5.16304089372444E-6
0.076, 5.34016053818742E-6
0.079, 5.51651147601424E-6
0.082, 5.69054257572631E-6
0.085, 5.86034014423359E-6
0.088, 6.02626698595772E-6
0.091, 6.19019119145471E-6
0.094, 6.35069523197215E-6
0.097, 6.51180365953793E-6
0.1, 6.66057885979994E-6
0.103, 6.81630139494146E-6
0.106, 6.9628270307892E-6
0.109, 7.10867977583293E-6
0.112, 7.24976062865558E-6
0.115, 7.38767079671958E-6
0.118, 7.52668015729629E-6
0.121, 7.65843763132763E-6
0.124, 7.78731120871951E-6
0.127, 7.91396729991331E-6
0.13, 8.03847672025617E-6
0.133, 8.15644625785627E-6
0.136, 8.27503091147584E-6
0.139, 8.38863948015776E-6
0.142, 8.50275174408593E-6
0.145, 8.61198533482438E-6
0.148, 8.71653381527016E-6
0.151, 8.81817969037334E-6
0.154, 8.91568817689826E-6
0.157, 9.0099106560019E-6
0.16, 9.10973260677244E-6
0.163, 9.19530772692414E-6
0.166, 9.28755584640254E-6
0.169, 9.36932919136117E-6
0.172, 9.44954597586169E-6
0.175, 9.53037330930634E-6
0.178, 9.60559438496071E-6
0.181, 9.6832587674811E-6
0.184, 9.75593006038681E-6
0.187, 9.8229442541882E-6
0.19, 9.89273883377121E-6
0.193, 9.95556992460099E-6
0.196, 1.00162506524634E-5
0.199, 1.00816285499556E-5
0.202, 1.01393817976613E-5
0.205, 1.01957171554864E-5
0.208, 1.02502805978783E-5
0.211, 1.03031777166541E-5
0.214, 1.03547546779083E-5
0.217, 1.04055763536368E-5
0.22, 1.04551741185751E-5
0.223, 1.04995847962119E-5
0.226, 1.05440084484759E-5
0.229, 1.05838635960559E-5
0.232, 1.06290158643099E-5
0.235, 1.06682871889656E-5
0.238, 1.0705947615399E-5
0.241, 1.0745209152307E-5
0.244, 1.07822141156556E-5

0.439356410208746, 1.20327992655746E-5

-0.167, -9.1975715079381E-6
-0.164, -9.11539696404692E-6
-0.161, -9.03055604554808E-6
-0.158, -8.94072771628041E-6
-0.155, -8.85116121896099E-6
-0.152, -8.75605745918935E-6
-0.149, -8.65674346064264E-6
-0.146, -8.55946544810829E-6
-0.143, -8.45703123456843E-6
-0.14, -8.35300100414007E-6
-0.137, -8.24405964153901E-6
-0.134, -8.1304121518809E-6
-0.131, -8.0173325576765E-6
-0.128, -7.89739850729451E-6
-0.125, -7.77787670649115E-6
-0.122, -7.65758692480919E-6
-0.119, -7.52944467512564E-6
-0.116, -7.40024074653231E-6
-0.113, -7.26910718106057E-6
-0.11, -7.12821431623459E-6
-0.107, -6.99616210451597E-6
-0.104, -6.85083287128429E-6
-0.101, -6.70740779754373E-6
-0.098, -6.56288665213654E-6
-0.095, -6.41271882723786E-6
-0.092, -6.25764603378537E-6
-0.089, -6.10182292216338E-6
-0.086, -5.94400531382412E-6
-0.083, -5.78203170764624E-6
-0.08, -5.61797408749476E-6
-0.0770000000000001, -5.450050960254E-6
-0.0740000000000001, -5.27982198936174E-6
-0.0710000000000001, -5.10537331398129E-6
-0.0680000000000001, -4.93078580477724E-6
-0.0650000000000001, -4.7523550549278E-6
-0.0620000000000001, -4.57346667718473E-6
-0.0590000000000001, -4.389021508546E-6
-0.0560000000000001, -4.19953466834453E-6
-0.053, -4.0142357114475E-6
-0.0500000000000001, -3.82244873926969E-6
-0.047, -3.62810733855465E-6
-0.044, -3.43292224200576E-6
-0.041, -3.23063502076444E-6
-0.038, -3.02986183120934E-6
-0.035, -2.82517161577335E-6
-0.032, -2.61576775988012E-6
-0.029, -2.40892129042351E-6
-0.026, -2.19661810309628E-6
-0.023, -1.97759904268977E-6
-0.02, -1.75676468936627E-6
-0.017, -1.5334790853684E-6
-0.014, -1.30420526888073E-6
-0.011, -1.07298834516722E-6
-0.00800000000000001, -8.39471559275174E-7
-0.005, -5.95561985143651E-7
-0.002, -3.48769790538182E-7
0.001, -9.73727578513394E-8
0.004, 1.58308808567563E-7
0.00700000000000001, 4.13869883300632E-7
0.00999999999999995, 6.63952991316553E-7
0.013, 9.14698511193354E-7
0.016, 1.16196682710367E-6
0.019, 1.40475839821206E-6
0.022, 1.64056539295818E-6
0.025, 1.87720963162877E-6
0.028, 2.10599631706161E-6
0.031, 2.33410030896601E-6
0.034, 2.55705430147241E-6
0.037, 2.77674750784361E-6
0.04, 2.99180801316481E-6
0.043, 3.20589980670326E-6
0.046, 3.41311898619378E-6
0.049, 3.6198161882845E-6
0.052, 3.82641632816467E-6
0.055, 4.02429616191013E-6
0.058, 4.22076655309139E-6
0.061, 4.4131469986729E-6
0.064, 4.60524398152679E-6
0.067, 4.79286442357826E-6
0.07, 4.97701421334975E-6
0.0729999999999999, 5.16124527698785E-6
0.076, 5.33970055692817E-6
0.079, 5.51514671359973E-6
0.082, 5.68703185075572E-6
0.085, 5.85675038398201E-6
0.088, 6.02189386770553E-6
0.091, 6.18578662403628E-6
0.094, 6.34869622561966E-6
0.097, 6.50645775491412E-6
0.1, 6.65912690789564E-6
0.103, 6.81295163088742E-6
0.106, 6.9587854193073E-6
0.109, 7.10556994685753E-6
0.112, 7.24970345557565E-6
0.115, 7.38788258671192E-6
0.118, 7.52336843079562E-6
0.121, 7.65501496765995E-6
0.124, 7.78554371086147E-6
0.127, 7.91273305517563E-6
0.13, 8.03512236340578E-6
0.133, 8.1578152173228E-6
0.136, 8.27466725399436E-6
0.139, 8.39020518125597E-6
0.142, 8.50000517334851E-6
0.145, 8.60996178375523E-6
0.148, 8.71551994820444E-6
0.151, 8.81596318269387E-6
0.154, 8.91322577916157E-6
0.157, 9.00868481662349E-6
0.16, 9.10386612299608E-6
0.163, 9.19720351541599E-6
0.166, 9.28237100197529E-6
0.169, 9.36683152836814E-6
0.172, 9.45044258277955E-6
0.175, 9.52934452468897E-6
0.178, 9.60648765771861E-6
0.181, 9.67890606545929E-6
0.184, 9.75171187951115E-6
0.187, 9.82210564542206E-6
0.19, 9.89074834495675E-6
0.193, 9.95523199421338E-6
0.196, 1.00177341098642E-5
0.199, 1.00791915740123E-5
0.202, 1.0137168573047E-5
0.205, 1.01958952747096E-5
0.208, 1.02509216666404E-5
0.211, 1.03025727341868E-5
0.214, 1.03548487563781E-5
0.217, 1.04024539476375E-5
0.22, 1.04521814656918E-5
0.223, 1.05011324628766E-5
0.226, 1.05446003282175E-5
0.229, 1.0586119812074E-5
0.232, 1.06263914551593E-5
0.235, 1.06707901855413E-5
0.238, 1.0707058539432E-5
0.241, 1.07467088913288E-5
0.244, 1.07826773904259E-5
0.247, 1.08187848019944E-5

0.439342887443876, 1.20331834290128E-5

-0.17, -9.28166119225106E-6
-0.167, -9.20241833161986E-6
-0.164, -9.1211112452643E-6
-0.161, -9.03412250070381E-6
-0.158, -8.946482087463E-6
-0.155, -8.85552608104409E-6
-0.152, -8.75838627344332E-6
-0.149, -8.66345396508319E-6
-0.146, -8.56721468065899E-6
-0.143, -8.46290949756914E-6
-0.14, -8.35662162683362E-6
-0.137, -8.24449607032446E-6
-0.134, -8.13405967209693E-6
-0.131, -8.02108513053581E-6
-0.128, -7.90298464363221E-6
-0.125, -7.78506496217489E-6
-0.122, -7.66159648128487E-6
-0.119, -7.53392545580122E-6
-0.116, -7.40310407411354E-6
-0.113, -7.27175908702584E-6
-0.11, -7.1359053433414E-6
-0.107, -6.99795472353933E-6
-0.104, -6.85598763244316E-6
-0.101, -6.71178120772315E-6
-0.098, -6.56342437945235E-6
-0.095, -6.41298158264083E-6
-0.092, -6.2601956807091E-6
-0.089, -6.10606073417711E-6
-0.086, -5.94540764813618E-6
-0.083, -5.78558342589052E-6
-0.0800000000000001, -5.61818671992897E-6
-0.0770000000000001, -5.45172879767457E-6
-0.0740000000000001, -5.28128799739407E-6
-0.0710000000000001, -5.10928490902933E-6
-0.0680000000000001, -4.93287523337016E-6
-0.0650000000000001, -4.75503650564654E-6
-0.0620000000000001, -4.57431444572067E-6
-0.0590000000000001, -4.38766692609296E-6
-0.0560000000000001, -4.20288727534251E-6
-0.053, -4.01720061261509E-6
-0.0500000000000001, -3.8259604545665E-6
-0.047, -3.63177887028306E-6
-0.044, -3.43205488463931E-6
-0.041, -3.23270145125639E-6
-0.038, -3.03234065833281E-6
-0.035, -2.82661305670988E-6
-0.032, -2.62126475409453E-6
-0.029, -2.41308051980749E-6
-0.026, -2.19823000396234E-6
-0.023, -1.98039661862149E-6
-0.02, -1.759921753591E-6
-0.017, -1.53537922984607E-6
-0.014, -1.30523703461368E-6
-0.011, -1.07475300238034E-6
-0.00800000000000001, -8.38396469950449E-7
-0.005, -5.98864343867913E-7
-0.002, -3.51630009854107E-7
0.001, -9.91247891721574E-8
0.004, 1.55334435660265E-7
0.00699999999999995, 4.10181336258058E-7
0.00999999999999995, 6.65910022833169E-7
0.013, 9.14324791486477E-7
0.016, 1.15963230505831E-6
0.019, 1.40309030986655E-6
0.022, 1.64234284462051E-6
0.025, 1.87504694533818E-6
0.028, 2.10447361950893E-6
0.031, 2.33168963457226E-6
0.034, 2.5546634290444E-6
0.037, 2.77606916054343E-6
0.04, 2.99072547535441E-6
0.043, 3.20585810592166E-6
0.046, 3.41347901278522E-6
0.049, 3.61953714190167E-6
0.052, 3.82334247252763E-6
0.055, 4.02255077164701E-6
0.058, 4.22078010903324E-6
0.061, 4.41401154085201E-6
0.064, 4.60131902605169E-6
0.067, 4.79143710584297E-6
0.0699999999999999, 4.97570450357287E-6
0.0729999999999999, 5.16176531265725E-6
0.076, 5.33939377921671E-6
0.079, 5.51097311835286E-6
0.082, 5.68564843637395E-6
0.085, 5.8518487442207E-6
0.088, 6.02105501275129E-6
0.091, 6.18538683959587E-6
0.094, 6.3476266049887E-6
0.097, 6.50398525018214E-6
0.1, 6.65900736428991E-6
0.103, 6.80874271493645E-6
0.106, 6.95730294149462E-6
0.109, 7.10549052165629E-6
0.112, 7.24756010126908E-6
0.115, 7.38575608516951E-6
0.118, 7.52108364383662E-6
0.121, 7.65314821892818E-6
0.124, 7.78477012528338E-6
0.127, 7.90934227633379E-6
0.13, 8.03276110936668E-6
0.133, 8.15338405999634E-6
0.136, 8.27306426505852E-6
0.139, 8.38837199181069E-6
0.142, 8.49740283244362E-6
0.145, 8.60686233866872E-6
0.148, 8.71359411447322E-6
0.151, 8.81825642596201E-6
0.154, 8.9136501124972E-6
0.157, 9.00972755556968E-6
0.16, 9.10190351394648E-6
0.163, 9.19581863227812E-6
0.166, 9.27991184619696E-6
0.169, 9.36600218788716E-6
0.172, 9.44966105440474E-6
0.175, 9.52883818215718E-6
0.178, 9.60401403999634E-6
0.181, 9.67953331476829E-6
0.184, 9.75544881264856E-6
0.187, 9.82144879224588E-6
0.19, 9.89365502569405E-6
0.193, 9.95600976131759E-6
0.196, 1.00166942815953E-5
0.199, 1.00775461199601E-5
0.202, 1.01387248497416E-5
0.205, 1.01950239524511E-5
0.208, 1.02493080985916E-5
0.211, 1.03040180973881E-5
0.214, 1.03528619275262E-5
0.217, 1.04033539838053E-5
0.22, 1.04518422203186E-5
0.223, 1.04990544053919E-5
0.226, 1.05447488697728E-5
0.229, 1.05885827858246E-5
0.232, 1.06263017655604E-5
0.235, 1.06691274565185E-5
0.238, 1.07088822636803E-5
0.241, 1.07469232726905E-5
0.244, 1.07814490000405E-5
0.247, 1.08157698784034E-5
0.25, 1.08520306193715E-5

0.439348649932421, 1.20320159526073E-5

-0.173, -9.36490299966361E-6
-0.17, -9.28674581007996E-6
-0.167, -9.20804527014706E-6
-0.164, -9.12268516922677E-6
-0.161, -9.03887791060959E-6
-0.158, -8.94731693869864E-6
-0.155, -8.85777203656563E-6
-0.152, -8.76512016996424E-6
-0.149, -8.66852334010637E-6
-0.146, -8.56859177113174E-6
-0.143, -8.46499376410536E-6
-0.14, -8.35978297640754E-6
-0.137, -8.25026774182147E-6
-0.134, -8.13982587656018E-6
-0.131, -8.02463720282465E-6
-0.128, -7.90950558820804E-6
-0.125, -7.78532708544733E-6
-0.122, -7.66360760409693E-6
-0.119, -7.53490510469331E-6
-0.116, -7.4051430005675E-6
-0.113, -7.27350722932295E-6
-0.11, -7.13974733814246E-6
-0.107, -6.99913612336549E-6
-0.104, -6.85593046733367E-6
-0.101, -6.71378297864885E-6
-0.098, -6.56606948098723E-6
-0.095, -6.4174289613883E-6
-0.092, -6.26355778333162E-6
-0.089, -6.10927435420689E-6
-0.086, -5.94839435490184E-6
-0.0830000000000001, -5.78345344730135E-6
-0.0800000000000001, -5.62185525010562E-6
-0.0770000000000001, -5.45367391920979E-6
-0.0740000000000001, -5.28376898553563E-6
-0.0710000000000001, -5.11199598137335E-6
-0.0680000000000001, -4.936197078703E-6
-0.0650000000000001, -4.75694345290985E-6
-0.0620000000000001, -4.57593268686289E-6
-0.0590000000000001, -4.392155661656E-6
-0.0560000000000001, -4.20725853650508E-6
-0.053, -4.01735829621422E-6
-0.0500000000000001, -3.82582337238654E-6
-0.047, -3.63122485672382E-6
-0.044, -3.43619131884906E-6
-0.041, -3.23437844589492E-6
-0.038, -3.03345370165785E-6
-0.035, -2.82936678291987E-6
-0.032, -2.62002604106078E-6
-0.029, -2.40982882770613E-6
-0.026, -2.19790548172024E-6
-0.023, -1.98109425567395E-6
-0.02, -1.76219945304565E-6
-0.017, -1.53766315540634E-6
-0.014, -1.30957204118665E-6
-0.011, -1.07536052855495E-6
-0.00800000000000001, -8.39084832677324E-7
-0.005, -5.9804306841929E-7
-0.002, -3.53504119999803E-7
0.001, -1.00705699320111E-7
0.00399999999999995, 1.53212347933855E-7
0.00699999999999995, 4.10785937946659E-7
0.00999999999999995, 6.64939659743797E-7
0.013, 9.15500535546031E-7
0.016, 1.16024709641466E-6
0.019, 1.39943705242144E-6
0.022, 1.63850927198577E-6
0.025, 1.87434198502852E-6
0.028, 2.10307008697688E-6
